freq. dt        phi     phi
kHz   microsek  rad     rad

15    1.2       0.725   0.11
20    2.4       1.450   0.30
25    2.8       1.692   0.44
30    4.8       2.902   0.90
31    5.6       3.387   1.09
32    6.2       3.750   1.25
33    6.8       4.114   1.41
34    7.6       4.599   1.62
35    8.4       5.085   1.85
36    9.2       5.571   2.08
37    9.6       5.814   2.23
38    9.8       5.935   2.34
39    10.0      6.057   2.45
40    10.4      6.300   2.61
41    10.2      6.179   2.63
42    10.2      6.179   2.69
43    10.0      6.057   2.70
44    9.8       5.935   2.71
45    9.6       5.814   2.71
50    9.2       5.571   2.89
55    8.8       5.328   3.04
