#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

26.0	29.0
26.1	28.0
26.2	32.0
26.3	29.0
26.4	30.0
26.5	35.0
26.6	36.0
26.7	35.0
26.8	38.0
26.9	41.0
27.0	45.0
27.1	50.0
27.2	58.0
27.3	67.0
27.4	76.0
27.5	86.0
27.6	90.0
27.7	96.0
27.8	112.0
27.9	117.0
28.0	125.0
28.1	129.0
28.2	139.0
28.3	142.0
28.4	135.0
28.5	132.0
28.6	124.0
28.7	117.0
28.8	110.0
28.9	94.0
29.0	87.0
29.1	75.0
29.2	67.0
29.3	57.0
29.4	47.0
29.5	38.0
29.6	31.0
29.7	32.0
29.8	28.0
29.9	27.0
