#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

16.0	51.0
16.2	55.0
16.4	58.0
16.6	56.0
16.7	58.0
17.0	58.0
17.2	56.0
17.4	57.0
17.6	59.0
17.7	60.0
18.0	56.0
18.2	58.0
18.4	57.0
18.6	57.0
18.8	57.0
19.0	58.0
19.2	61.0
19.4	78.0
19.6	94.0
19.8	102.0
20.0	111.0
20.2	117.0
20.4	111.0
20.6	116.0
20.8	114.0
21.0	115.0
21.2	117.0
21.4	117.0
21.6	117.0
21.8	115.0
22.0	115.0
22.2	117.0
22.4	113.0
22.6	112.0
22.8	112.0
23.0	111.0
23.2	111.0
23.4	110.0
23.6	110.0
23.8	108.0
24.0	100.0
