#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

8.0	20.0
8.4	21.0
8.8	20.0
9.2	19.0
9.6	22.0
10.0	22.0
10.4	28.0
10.8	30.0
11.2	41.0
11.6	46.0
12.0	52.0
12.4	63.0
12.8	68.0
13.2	82.0
13.6	84.0
14.0	86.0
14.4	103.0
14.8	103.0
15.2	116.0
15.6	113.0
16.0	127.0
16.4	127.0
16.7	137.0
17.2	143.0
17.6	144.0
18.0	154.0
18.4	159.0
18.8	160.0
19.2	167.0
19.6	153.0
20.0	163.0
20.4	171.0
20.8	170.0
21.2	165.0
21.6	170.0
22.0	162.0
22.4	167.0
22.8	171.0
23.2	161.0
23.6	165.0
24.0	159.0
24.4	158.0
24.8	154.0
25.2	154.0
25.6	157.0
26.0	146.0
26.4	122.0
26.8	121.0
27.2	128.0
27.6	117.0
28.0	119.0
28.4	115.0
28.8	106.0
29.2	113.0
29.6	105.0
30.0	103.0
30.4	99.0
30.8	107.0
31.2	103.0
31.6	89.0
32.0	96.0
32.4	105.0
32.8	89.0
33.2	89.0
33.6	87.0
34.0	87.0
34.4	85.0
34.8	90.0
35.2	81.0
35.5	86.0
36.0	80.0
36.4	77.0
36.8	72.0
37.2	80.0
37.5	77.0
38.0	75.0
38.4	76.0
38.8	80.0
39.2	87.0
39.5	134.0
40.0	988.0
40.4	579.0
40.8	134.0
41.2	102.0
41.5	88.0
42.0	81.0
42.4	87.0
42.8	84.0
43.2	78.0
43.6	87.0
44.0	181.0
44.4	3132.0
44.8	2790.0
45.2	499.0
45.5	118.0
46.0	84.0
46.4	63.0
46.8	60.0
47.2	56.0
47.6	58.0
48.0	51.0
48.4	53.0
48.8	48.0
49.2	47.0
49.6	49.0
50.0	44.0
50.4	40.0
50.8	38.0
51.2	41.0
51.6	45.0
52.0	40.0
