#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

22.0	45.0
22.2	47.0
22.4	43.0
22.6	43.0
22.8	42.0
23.0	37.0
23.2	40.0
23.4	40.0
23.6	39.0
23.8	38.0
24.0	38.0
24.2	39.0
24.4	41.0
24.6	40.0
24.8	47.0
25.0	47.0
25.2	45.0
25.4	48.0
25.6	47.0
25.8	44.0
26.0	41.0
26.2	39.0
26.4	41.0
26.6	38.0
26.8	35.0
27.0	31.0
27.2	33.0
27.4	34.0
27.6	30.0
27.8	30.0
28.0	28.0
28.2	28.0
28.4	29.0
28.6	34.0
28.8	37.0
29.0	42.0
29.2	48.0
29.4	49.0
29.6	48.0
29.8	44.0
30.0	44.0
30.2	45.0
30.4	41.0
30.6	42.0
30.8	40.0
31.0	40.0
31.2	35.0
31.4	38.0
31.6	34.0
31.8	34.0
32.0	33.0
