Zählrohrwinkel	Rate bei 35kV mit Au
2*theta/°	R(35kV)/Imp/s

14,0	26,0
14,2	30,0
14,4	34,0
14,6	30,0
14,8	32,0
15,0	32,0
15,2	32,0
15,4	33,0
15,6	34,0
15,8	34,0
16,0	34,0
16,2	31,0
16,4	34,0
16,6	34,0
16,7	34,0
17,0	31,0
17,2	32,0
17,4	33,0
17,6	33,0
17,7	30,0
18,0	29,0
18,2	32,0
18,4	30,0
18,6	30,0
18,8	30,0
19,0	29,0
19,2	29,0
19,4	28,0
19,6	27,0
19,8	25,0
20,0	26,0
20,2	26,0
20,4	24,0
20,6	25,0
20,8	23,0
21,0	24,0
21,2	24,0
21,4	24,0
21,6	24,0
21,8	22,0
22,0	22,0
