#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

18.0	30.0
18.2	34.0
18.4	32.0
18.6	30.0
18.8	32.0
19.0	29.0
19.2	29.0
19.4	27.0
19.6	30.0
19.8	26.0
20.0	27.0
20.2	26.0
20.4	27.0
20.6	26.0
20.8	27.0
21.0	27.0
21.2	25.0
21.4	29.0
21.6	39.0
21.8	57.0
22.0	69.0
22.2	82.0
22.4	81.0
22.6	80.0
22.8	83.0
23.0	81.0
23.2	81.0
23.4	76.0
23.6	76.0
23.8	74.0
24.0	77.0
24.2	70.0
24.4	70.0
24.6	69.0
24.8	67.0
25.0	64.0
25.2	62.0
25.4	63.0
25.6	58.0
25.8	57.0
26.0	57.0
